ID Oddziału;Nazwa Oddziału;Typ Oddziału;Szpital (Nazwa);Miasto;ID Szpitala;Liczba Lekarzy na Oddziale;Data Utworzenia
dept_34_1;I Klinika Chirurgii Ogólnej, Onkologicznej i Endokrynologicznej;Zabiegowy;UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU;Białystok;hosp_34;0;2026-05-07T06:43:35.542Z
dept_34_10;Sterylizatornia;Zabiegowy;UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU;Białystok;hosp_34;1;2026-05-07T06:43:35.542Z
dept_34_2;I Klinika Nefrologii, Transplantologii i Chorób Wewnętrznych z Ośrodkiem Dializ;Zachowawczy;UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU;Białystok;hosp_34;0;2026-05-07T06:43:35.542Z
dept_34_3;II Klinika Chirurgii Ogólnej, Gastroenterologicznej i Onkologicznej;Zabiegowy;UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU;Białystok;hosp_34;0;2026-05-07T06:43:35.542Z
dept_34_4;Klinika Chirurgii Klatki Piersiowej;Zabiegowy;UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU;Białystok;hosp_34;1;2026-05-07T06:43:35.542Z
dept_34_5;Klinika Chirurgii Naczyń i Transplantacji;Zabiegowy;UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU;Białystok;hosp_34;0;2026-05-07T06:43:35.542Z
dept_34_6;Klinika Kardiochirurgii z Blokiem Operacyjnym;Zabiegowy;UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU;Białystok;hosp_34;9;2026-05-07T06:43:35.542Z
dept_34_7;Klinika Neurochirurgii;Zabiegowy;UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU;Białystok;hosp_34;2;2026-05-07T06:43:35.542Z
dept_34_8;Klinika Urologii i Urologii Onkologicznej;Zabiegowy;UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU;Białystok;hosp_34;1;2026-05-07T06:43:35.542Z
dept_34_9;Blok operacyjny;Zabiegowy;UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU;Białystok;hosp_34;0;2026-05-07T06:43:35.542Z
dept_35_1;Oddział Chirurgiczny z Pododdziałem Chirurgii Naczyniowej;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W BIELSKU PODLASKIM;Bielsk Podlaski;hosp_35;1;2026-05-06T06:43:35.542Z
dept_35_2;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W BIELSKU PODLASKIM;Bielsk Podlaski;hosp_35;1;2026-05-06T06:43:35.542Z
dept_35_3;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W BIELSKU PODLASKIM;Bielsk Podlaski;hosp_35;1;2026-05-06T06:43:35.542Z
dept_36_1;Oddział Chirurgii Ogólnej;Zabiegowy;SZPITAL OGÓLNY IM. DR WITOLDA GINELA W GRAJEWIE;Grajewo;hosp_36;2;2026-05-05T06:43:35.542Z
dept_36_2;Blok operacyjny;Zabiegowy;SZPITAL OGÓLNY IM. DR WITOLDA GINELA W GRAJEWIE;Grajewo;hosp_36;0;2026-05-05T06:43:35.542Z
dept_36_3;Sterylizatornia;Zabiegowy;SZPITAL OGÓLNY IM. DR WITOLDA GINELA W GRAJEWIE;Grajewo;hosp_36;0;2026-05-05T06:43:35.542Z
